complaint_id,customer_id,complaint_type,description,complaint_date,resolved
1,991,billing,Future approach well hand similar.,2024-06-21,yes
2,4875,internet,Manager top idea cut order.,2024-07-22,unresolved
3,241,coverage,Later tough brother cell south produce real.,2025-04-24,no
4,4790,network,Toward whose far at.,2024-11-02,no
5,1371,network,How law month current return fall.,2024-10-13,resolved
6,3911,coverage,Give stand type cell top general.,2025-04-07,unresolved
7,921,internet,Quickly on education put.,2024-07-12,no
8,2807,coverage,Kid detail bad so them research stock away.,2024-07-02,no
9,4849,billing,Student single statement whole.,2025-05-23,yes
10,122,coverage,Performance support space in.,2025-01-06,unresolved
11,3220,service,Here put reveal rich meeting.,2024-06-18,resolved
12,1217,billing,You policy east offer respond foreign challenge.,2024-06-27,no
13,4744,network,Us fire trouble.,2024-11-30,unresolved
14,4919,service,East case tax line beat cost.,2024-09-15,resolved
15,1264,coverage,Usually stuff glass.,2024-09-27,resolved
16,1538,service,,2024-12-13,resolved
17,1738,billing,Chair court hundred end for.,2024-07-26,unresolved
18,3808,billing,,2024-09-05,resolved
19,615,internet,Project daughter three alone.,2025-04-21,resolved
20,4608,coverage,Choice share last.,2024-07-09,resolved
21,736,service,Control claim audience car interesting difference.,2024-11-19,unresolved
22,4755,internet,Until senior main every child generation week.,2025-05-02,resolved
23,2970,billing,Issue hundred citizen.,2024-12-12,no
24,4228,service,Young feeling prove sister.,2024-11-15,resolved
25,2505,coverage,Film agent cell environment prove let mean.,2024-11-20,unresolved
26,1417,coverage,Kitchen able develop area stop.,2024-10-04,resolved
27,4561,coverage,Author worker front focus.,2024-07-31,resolved
28,4046,coverage,Myself when relationship just kind movement small.,2025-04-06,yes
29,6,billing,Civil mother report program whatever.,2025-04-07,no
30,2930,billing,Small stop thousand so peace family.,2025-05-10,unresolved
31,4971,network,Million physical heart.,2025-02-05,yes
32,3502,network,,2025-06-12,yes
33,4519,internet,Trade man institution.,2025-03-14,no
34,4792,coverage,Treat shake memory machine impact rise woman.,2025-05-30,resolved
35,2535,internet,Take story among drop.,2024-11-07,no
36,799,internet,Half firm through let person.,2024-12-01,unresolved
37,3085,network,,2024-11-16,no
38,302,network,Executive quality marriage road eat note.,2024-10-17,resolved
39,64,network,Sell race return why move small traditional my.,2024-10-14,resolved
40,3756,network,Explain organization school second face represent.,2024-12-28,yes
41,1654,billing,Scientist glass her structure.,2025-01-23,resolved
42,4611,service,,2024-08-02,unresolved
43,2380,coverage,Word list subject while Congress.,2024-09-10,unresolved
44,1699,service,Challenge ball director cover.,2025-02-23,resolved
45,1390,coverage,Win six sometimes local.,2025-01-27,yes
46,2556,network,Old technology onto fall whatever less always director.,2024-12-16,no
47,3376,network,Hotel international serve enough song democratic few.,2025-01-12,yes
48,1450,coverage,Actually he seat mouth.,2025-04-18,yes
49,3828,network,Outside Congress race what.,2025-04-25,no
50,2736,billing,,2024-06-20,yes
51,3139,network,Within loss marriage sort commercial sit matter cup.,2024-09-19,unresolved
52,1096,network,Successful wish speech.,2025-01-29,unresolved
53,4997,service,Bag perform save likely do.,2024-12-02,no
54,2241,coverage,Treatment standard hour use appear.,2024-10-23,unresolved
55,1781,coverage,Bag interesting a finish yet.,2025-01-24,resolved
56,4895,network,Report color reflect administration growth.,2025-01-20,no
57,2988,internet,Gun artist and begin chair million.,2025-02-23,yes
58,4440,service,Clear forget he decision.,2025-04-14,yes
59,2512,coverage,People health whole soon letter event kitchen fly.,2024-07-30,resolved
60,4763,coverage,Knowledge call rise agreement as outside.,2025-02-23,no
61,4236,billing,Specific agent leg wide stay perhaps stuff matter.,2024-10-13,unresolved
62,1647,coverage,Include meet police behavior.,2025-01-21,no
63,3775,network,Recently push air high raise.,2024-10-15,yes
64,832,service,Middle service popular final quality realize such.,2024-08-17,yes
65,216,service,Among bit paper financial card information friend leave.,2024-10-25,resolved
66,1062,network,Environmental stuff example like window able adult.,2025-06-15,resolved
67,163,coverage,Reach why maybe accept may.,2025-01-12,no
