payment_id,customer_id,payment_date,amount,payment_method
1,4868,2024-11-25,849.2,mobile
2,2738,2025-01-24,747.72,bank
3,1177,2023-07-16,456.99,card
4,3738,2024-04-15,827.72,bank
5,1510,2023-07-15,310.13,mobile
6,3069,2024-05-25,261.96,mobile
7,3711,2023-09-01,269.33,bank
8,433,2024-04-30,194.53,bank
9,1357,2023-11-29,521.37,mobile
10,4613,2024-05-19,60.08,card
11,4264,2023-12-04,762.68,card
12,1276,2025-03-30,435.42,cash
13,2922,2023-07-18,422.08,cash
14,4449,2025-03-28,789.44,bank
15,2852,2024-02-26,889.92,cash
16,1706,2024-05-25,329.48,card
17,3767,2024-07-10,814.3,bank
18,3985,2023-08-19,945.29,cash
19,4394,2024-08-14,491.49,card
20,3971,2024-08-19,559.69,cash
21,465,2023-07-05,146.05,mobile
22,3588,2024-04-30,140.89,cash
23,2950,2024-12-13,433.97,cash
24,2465,2023-12-10,415.33,cash
25,2364,2024-05-30,22.5,bank
26,3790,2023-07-10,724.89,card
27,4917,2024-11-23,396.53,bank
28,255,2024-06-19,472.86,mobile
29,3888,2024-01-13,773.67,bank
30,4622,2024-04-08,313.49,mobile
31,2383,2024-06-26,590.16,cash
32,1673,2024-05-20,122.97,card
33,2654,2023-11-03,52.1,cash
34,3425,2024-12-13,179.5,bank
35,3861,2023-06-27,211.93,mobile
36,1966,2025-02-26,222.73,cash
37,4247,2024-07-09,23.72,cash
38,1582,2024-04-16,464.14,cash
39,423,2025-01-13,534.18,mobile
40,4256,2025-02-24,381.83,cash
41,533,2023-10-09,651.69,bank
42,3591,2023-06-28,641.92,cash
43,764,2023-10-05,960.09,bank
44,2754,2023-11-16,281.27,cash
45,3036,2025-03-16,578.16,cash
46,239,2024-11-29,524.74,mobile
47,2925,2023-12-30,389.99,cash
48,1747,2024-03-05,666.75,card
49,4669,2023-07-12,212.75,cash
50,3729,2024-02-14,643.22,cash
51,2552,2025-04-10,319.42,card
52,90,2025-03-25,701.91,card
53,2058,2023-09-24,805.28,mobile
54,573,2025-01-13,284.58,mobile
55,31,2025-06-08,427.52,cash
56,4971,2023-09-08,788.25,card
57,2756,2024-08-12,957.45,card
58,2834,2023-08-21,508.62,mobile
59,775,2025-03-20,545.85,mobile
60,4058,2025-03-05,856.72,cash
61,4898,2024-12-11,185.49,bank
62,4409,2023-07-15,892.7,bank
63,1626,2023-10-08,455.47,bank
64,3660,2025-01-17,753.22,cash
65,1622,2023-12-05,609.64,cash
66,3435,2024-04-20,422.16,card
67,162,2025-02-16,179.27,card
68,4381,2023-11-04,756.08,mobile
69,2504,2025-02-19,265.65,mobile
70,2540,2024-10-26,426.71,bank
71,1707,2024-07-13,914.09,card
72,2267,2024-02-17,254.64,card
73,4295,2024-05-28,906.51,bank
74,2472,2024-06-23,15.18,bank
75,3519,2024-07-03,719.79,bank
76,699,2023-10-01,246.32,mobile
77,3865,2023-12-26,834.43,card
78,3580,2024-05-18,840.15,cash
79,86,2024-10-08,206.88,mobile
80,960,2023-11-05,955.79,card
81,3294,2025-06-13,688.48,card
82,177,2023-11-14,540.2,card
83,4348,2025-06-05,383.16,mobile
84,2330,2023-12-12,415.09,mobile
85,4244,2024-01-24,64.92,bank
86,3438,2025-05-05,763.84,card
87,525,2024-02-05,65.43,cash
88,2068,2023-10-07,648.7,bank
89,4119,2024-09-24,326.54,cash
90,4476,2024-08-23,91.81,card
91,3515,2024-08-29,466.45,bank
92,1918,2024-02-14,493.67,cash
93,1603,2024-08-30,939.57,mobile
94,1069,2025-05-08,35.27,mobile
95,805,2024-08-09,220.85,bank
96,656,2023-07-09,136.16,card
97,4717,2024-07-19,21.16,card
98,3469,2024-10-21,470.88,card
99,3993,2025-03-14,979.92,mobile
100,2057,2025-03-11,376.59,bank
101,2551,2024-02-23,821.76,cash
102,1919,2023-10-10,626.35,cash
103,4494,2025-03-17,668.32,card
104,3905,2024-05-25,708.87,mobile
105,3458,2024-06-16,905.79,card
106,4292,2024-02-13,257.12,mobile
107,238,2025-03-08,620.3,card
108,2362,2024-02-08,180.53,cash
109,810,2025-06-08,841.38,bank
110,2853,2024-04-28,402.48,card
111,3977,2024-12-01,464.29,card
112,208,2023-11-05,640.19,card
113,4915,2025-03-01,838.95,card
114,86,2023-09-17,30.98,cash
115,2453,2023-10-09,53.06,cash
116,2522,2024-01-26,296.39,bank
117,4225,2024-08-21,376.57,cash
118,3998,2025-01-13,376.55,card
119,2528,2023-12-20,473.89,cash
120,3951,2023-12-17,58.03,cash
121,1550,2025-04-12,572.41,card
122,790,2024-06-30,539.06,mobile
