subscription_id,customer_id,plan_type,start_date,end_date,monthly_cost
1,4417,5G,2024-06-03,2025-04-22,297.12
2,292,Prepaid,2022-08-26,2023-04-20,290.03
3,1919,5G,2023-07-12,2024-01-26,202.03
4,773,Prepaid,2023-01-30,2024-01-26,293.18
5,3383,Postpaid,2023-07-11,2024-01-08,200.28
6,285,4G,2022-11-19,2023-04-14,52.65
7,3785,Prepaid,2022-10-09,2022-12-05,194.57
8,263,5G,2022-08-16,2022-12-27,60.93
9,4527,4G,2023-12-15,2024-12-10,54.72
10,4458,Prepaid,2023-01-01,2023-03-03,161.12
11,622,Prepaid,2022-12-22,2023-08-28,130.58
12,3924,Postpaid,2022-06-29,2023-05-26,121.84
13,4191,5G,2024-04-27,2024-09-24,195.62
14,2224,4G,2023-02-04,2023-11-03,126.01
15,875,5G,2023-05-27,2024-04-27,128.64
16,1489,Prepaid,2024-03-10,2024-05-10,166.62
17,2960,4G,2023-09-27,2023-11-10,138.24
18,33,4G,2023-10-18,2024-06-25,198.13
19,1646,4G,2023-01-23,2023-09-14,147.67
20,2363,5G,2024-04-18,2025-03-14,138.7
21,3416,4G,2024-03-10,2024-10-01,112.57
22,2657,5G,2022-07-30,2022-10-19,196.4
23,978,Prepaid,2023-04-06,2024-02-02,290.33
24,391,5G,2022-08-11,2022-11-01,71.12
25,4049,Prepaid,2023-03-21,2023-12-20,72.06
26,4031,5G,2024-02-07,2024-06-10,132.35
27,4718,Prepaid,2024-03-24,2025-01-10,115.21
28,3075,4G,2023-02-04,2023-03-30,242.67
29,3837,Postpaid,2024-04-10,2024-07-29,157.54
30,1140,4G,2022-12-17,2023-08-21,132.98
31,710,4G,2023-10-10,2024-01-05,188.98
32,2568,5G,2022-12-20,2023-06-25,227.9
33,4950,4G,2023-01-09,2023-07-25,182.26
34,1268,5G,2023-09-20,2024-06-09,216.87
35,3816,5G,2023-03-29,2023-11-26,179.63
36,1718,5G,2022-10-08,2023-01-26,153.77
37,1956,Postpaid,2023-03-03,2024-02-25,190.19
38,3965,Prepaid,2023-03-09,2024-01-27,69.74
39,4489,Postpaid,2023-04-30,2024-01-13,55.3
40,3611,Prepaid,2023-06-27,2023-08-10,140.21
41,3957,4G,2024-05-07,2024-06-18,135.24
42,4311,5G,2023-03-12,2023-08-31,207.51
43,2793,4G,2023-04-08,2023-07-14,180.87
44,1167,5G,2022-08-12,2022-11-20,299.59
45,4756,4G,2022-10-19,2023-07-02,256.51
46,2051,Prepaid,2023-10-16,2023-12-06,218.5
47,698,Postpaid,2024-03-12,2025-03-09,161.1
48,4045,4G,2022-07-01,2023-04-18,192.78
49,1364,Postpaid,2022-07-02,2022-12-19,281.93
50,4563,4G,2023-04-02,2024-02-25,288.45
51,4885,5G,2023-10-25,2024-09-15,249.58
52,2781,Prepaid,2024-03-19,2024-05-14,71.31
53,4021,4G,2024-04-08,2025-01-16,132.15
54,2586,Postpaid,2024-06-05,2025-05-30,107.25
55,682,Postpaid,2023-02-08,2023-12-22,251.53
56,3772,Prepaid,2023-08-20,2023-10-09,105.36
57,2157,Prepaid,2024-04-27,2025-04-27,181.17
58,1666,Prepaid,2022-12-16,2023-10-23,68.62
59,2215,Prepaid,2024-02-27,2024-08-09,284.07
60,3674,4G,2024-03-28,2025-02-22,283.88
61,2282,4G,2023-09-24,2023-12-17,165.81
62,2537,5G,2024-06-11,2024-10-15,209.34
63,3886,Prepaid,2022-08-08,2023-03-01,78.23
64,1677,4G,2023-12-15,2024-11-13,162.63
65,938,4G,2024-02-28,2024-09-13,202.36
66,3856,Postpaid,2024-04-01,2024-09-13,195.25
67,1325,4G,2023-12-02,2024-07-16,246.24
68,1545,5G,2023-06-22,2024-06-02,98.07
69,2871,4G,2022-07-07,2023-02-22,196.09
70,3538,5G,2024-01-25,2024-07-23,127.18
71,1487,4G,2023-09-01,2023-12-15,66.3
72,3766,4G,2023-07-05,2023-09-29,54.49
73,778,4G,2022-08-10,2022-11-27,87.81
74,1084,4G,2023-03-14,2023-04-17,240.82
75,3662,5G,2023-04-05,2023-08-11,259.94
76,1813,Postpaid,2022-11-16,2023-06-16,274.96
77,3790,4G,2022-08-10,2022-11-22,102.31
78,1276,Postpaid,2024-04-22,2025-03-03,109.14
79,1720,5G,2022-09-07,2022-12-01,227.85
80,2673,Postpaid,2022-06-21,2022-08-05,141.26
81,4524,Prepaid,2024-05-30,2025-01-18,287.62
82,260,5G,2022-10-10,2023-06-08,59.72
83,3346,Prepaid,2024-03-01,2024-05-16,67.66
84,4521,Prepaid,2023-02-22,2024-01-28,167.35
85,2497,4G,2023-02-24,2023-03-27,100.68
86,2883,Prepaid,2023-09-06,2024-05-27,127.88
87,3699,4G,2023-08-17,2024-04-14,243.74
88,3556,Postpaid,2022-07-20,2023-03-27,87.6
89,2917,5G,2024-04-05,2024-11-27,185.47
90,2144,Prepaid,2024-02-20,2024-07-30,171.05
91,2429,5G,2023-04-27,2023-10-01,155.56
92,1794,4G,2023-05-19,2024-03-05,117.77
93,2191,4G,2023-12-09,2024-08-15,213.17
94,446,5G,2024-01-02,2024-03-16,214.63
95,2854,Prepaid,2023-04-29,2024-01-24,56.93
96,4522,Postpaid,2022-06-29,2023-01-11,173.92
97,3037,Postpaid,2023-10-15,2024-04-10,210.59
98,2174,Postpaid,2022-11-24,2023-07-25,112.22
99,2325,4G,2023-10-11,2024-08-31,148.94
100,568,Prepaid,2024-04-04,2024-07-19,144.18
101,713,4G,2022-10-04,2023-03-16,167.08
102,3824,5G,2022-07-10,2022-09-12,277.16
103,3215,Postpaid,2024-03-28,2024-12-02,224.89
104,3155,5G,2022-07-12,2022-10-16,156.8
105,3613,Prepaid,2024-01-15,2024-03-04,99.74
106,3145,5G,2022-08-15,2023-01-24,161.93
107,678,Postpaid,2024-03-30,2025-02-27,152.05
108,1097,4G,2023-02-03,2023-11-16,290.85
109,3802,Prepaid,2022-07-02,2022-10-25,228.47
110,1056,5G,2022-12-17,2023-07-15,289.22
111,1124,Postpaid,2023-11-30,2024-02-29,96.8
112,4490,Prepaid,2023-04-13,2023-10-19,138.85
113,2701,4G,2023-07-27,2023-12-04,159.9
114,4081,5G,2022-11-30,2023-07-07,185.11
115,289,4G,2024-05-26,2025-04-10,260.41
116,2227,4G,2023-12-06,2024-01-09,123.22
117,848,5G,2022-09-04,2023-06-17,267.03
118,2796,Prepaid,2023-12-16,2024-04-16,233.43
119,1306,4G,2023-07-20,2024-01-01,82.01
120,2827,5G,2023-09-10,2024-03-08,78.83
121,3351,Prepaid,2024-06-01,2025-05-03,63.47
122,904,Prepaid,2022-10-12,2023-03-10,147.42
123,3199,Prepaid,2024-06-04,2025-04-27,102.77
124,1138,5G,2023-10-21,2024-05-30,155.73
125,1881,Postpaid,2024-01-05,2024-08-31,283.47
126,2374,4G,2022-08-21,2023-01-26,285.54
127,4149,4G,2023-04-25,2023-11-19,237.92
128,2500,5G,2024-03-15,2024-11-10,120.34
129,4896,Postpaid,2023-11-18,2024-11-15,259.18
130,397,4G,2023-02-07,2023-10-31,200.02
131,1810,4G,2022-08-08,2023-02-26,109.27
132,3861,4G,2023-12-30,2024-11-22,277.66
133,1814,Postpaid,2023-05-24,2024-05-02,70.78
134,4837,5G,2024-05-30,2024-11-15,282.0
135,2745,5G,2023-06-15,2023-08-06,119.69
136,4917,Prepaid,2023-04-28,2024-01-02,266.78
137,4598,Prepaid,2024-02-20,2025-02-19,141.66
138,2345,Prepaid,2024-05-26,2025-01-09,127.14
139,875,5G,2024-05-03,2024-10-29,55.23
140,4939,Prepaid,2022-10-19,2023-08-22,212.27
141,2255,5G,2022-09-04,2023-04-14,192.09
142,320,Prepaid,2023-12-03,2024-04-15,232.75
143,230,Prepaid,2023-09-12,2024-02-15,175.03
144,3891,Prepaid,2023-10-01,2024-04-23,58.03
145,1064,5G,2023-06-23,2023-11-20,70.64
146,165,5G,2023-05-09,2023-06-13,288.66
147,4821,Postpaid,2024-01-23,2024-03-19,205.83
148,4071,4G,2023-11-28,2023-12-31,249.09
149,6,5G,2023-12-31,2024-05-10,267.71
150,4930,5G,2023-11-08,2024-02-14,263.26
151,896,5G,2023-07-08,2023-08-07,145.8
152,1339,Prepaid,2022-11-18,2023-05-18,279.51
153,3201,5G,2024-01-30,2024-04-10,274.5
154,723,Prepaid,2022-07-25,2022-11-09,270.5
155,2310,Postpaid,2024-02-12,2024-10-12,174.17
156,1242,4G,2023-01-01,2023-06-16,239.17
157,715,Prepaid,2023-12-06,2024-05-05,181.4
158,4491,4G,2024-01-28,2024-03-12,151.99
159,3484,Prepaid,2023-12-27,2024-04-05,246.36
160,2519,4G,2022-10-17,2023-09-02,266.09
161,941,5G,2022-06-21,2023-04-08,247.28
162,1061,Prepaid,2023-10-30,2024-07-12,209.87
